"Utility.Name","State"
"Holmes-Wayne Electric Coop Inc","Ohio"
"Holston Electric Coop, Inc","Tennessee"
"City of Holton","Kansas"
"Holy Cross Electric Assn, Inc","Colorado"
"City of Holyoke","Massachusetts"
"Fox Islands Electric Coop, Inc","Maine"
"Horry Electric Coop Inc","South Carolina"
"City of Homestead","Florida"
"City of Hingham","Massachusetts"
"M J M Electric Cooperative Inc","Illinois"
"Hood River Electric Coop","Oregon"
"City of Hope","Arkansas"
"City of Hopkinsville","Kentucky"
"Houlton Water Company","Maine"
"Terrebonne Parish Consol Gov't","Louisiana"
"Houston County Elec Coop Inc","Texas"
"Howard Electric Coop","Missouri"
"Howard Greeley Rural P P D","Nebraska"
"Howell-Oregon Elec Coop, Inc","Missouri"
"City of Hudson","Ohio"
"Town of Hudson","Massachusetts"
"City of Hugoton","Kansas"
"City of Humboldt","Tennessee"
"Town of Huntersville","North Carolina"
"City of Huntsville","Alabama"
"City of Lafayette","Louisiana"
"Hustisford Utilities","Wisconsin"
"Hurricane City Power","Utah"
"Hutchinson Utilities Comm","Minnesota"
"Hyrum City Corporation","Utah"
"City of Idaho Falls","Idaho"
"Illinois Rural Electric Coop","Illinois"
"Imperial Irrigation District","California"
"City of Imperial","Nebraska"
"City of Independence","Iowa"
"City of Independence","Missouri"
"Indian Electric Coop, Inc","Oklahoma"
"Indianola Municipal Utilities","Iowa"
"Inter County Energy Coop Corp","Kentucky"
"Intercounty Electric Coop Assn","Missouri"
"Intermountain Rural Elec Assn","Colorado"
"City of Iola","Kansas"
"Iowa Lakes Electric Coop","Iowa"
"Irwin Electric Membership Corp","Georgia"
"Town of Ipswich","Massachusetts"
"Itasca-Mantrap Co-op Electrical Assn","Minnesota"
"Jackson Energy Coop Corp","Kentucky"
"Jackson County Rural E M C","Indiana"
"Jackson Electric Coop, Inc","Texas"
"City of Jackson","Ohio"
"City of Jackson","Minnesota"
"Jackson Electric Member Corp","Georgia"
"City of Jackson","Missouri"
"Jackson Purchase Energy Corporation","Kentucky"
"City of Jackson","Tennessee"
"City of Lebanon","Indiana"
"Beaches Energy Services","Florida"
"JEA","Florida"
"Jamestown Board of Public Util","New York"
"City of Jasper","Texas"
"Jasper County Rural E M C","Indiana"
"Jay County Rural E M C","Indiana"
"City of Jasper","Indiana"
"Jasper-Newton Elec Coop, Inc","Texas"
"Jefferson Davis Elec Coop, Inc","Louisiana"
"Jefferson Electric Member Corp","Georgia"
"Jefferson Utilities","Wisconsin"
"City of Jellico","Kentucky"
"City of Jellico","Tennessee"
"Jemez Mountains Elec Coop, Inc","New Mexico"
"City of Jewett City","Connecticut"
"Joe Wheeler Elec Member Corp","Alabama"
"Jo-Carroll Energy Coop Inc","Illinois"
"Johnson City","Tennessee"
"Johnson County Rural E M C","Indiana"
"Jones-Onslow Elec Member Corp","North Carolina"
"City Water and Light Plant","Arkansas"
"Jump River Electric Coop Inc","Wisconsin"
"Juneau Utility Comm","Wisconsin"
"Kenergy Corp","Kentucky"
"Kandiyohi Power Coop","Minnesota"
"City of Kansas City","Kansas"
"Kankakee Valley Rural E M C","Indiana"
"Karnes Electric Coop Inc","Texas"
"Kay Electric Coop","Oklahoma"
"Kaw Valley Electric Coop Inc","Kansas"
"City of Kaukauna","Wisconsin"
"City of Lamar","Missouri"
"Kaysville City Corporation","Utah"
"KBR Rural Public Power District","Nebraska"
"K C Electric Association","Colorado"
"Kauai Island Utility Cooperative","Hawaii"
"Kennebunk Light & Power Dist","Maine"
